,PRICE,BED,BATH,SIZE,DISTRICT
0,3000000,5,4,1100,الخليج
1,4930000,5,4,1030,الرمال
2,780000,5,4,455,الدار البيضاء
3,880000,5,4,375,النسيم الغربي
4,1800000,5,5,800,طويق
5,1000000,5,3,350,طويق
6,5000000,4,4,350,الديرة
7,250000,5,5,230,البديعة
8,685000,5,4,360,بدر
9,800000,5,3,312,أحد
10,160000,3,2,84,العيينة
11,125000,5,2,133,اليمامة
12,940000,1,1,375,الفوطة
13,1850000,3,4,450,المروة
14,130000,5,3,151,منفوحة
15,250000,4,2,100,الخالدية
16,350000,5,3,178,منفوحة
17,950000,5,5,390,العريجاء
18,1300000,5,5,450,ظهرة لبن
19,1700000,4,3,1000,الندوة
20,200000,5,2,125,الصالحية
21,617000,5,5,441,منفوحة
22,120000,3,2,100,الشميسي
23,900000,5,3,330,الدار البيضاء
24,437050,5,3,172,الدار البيضاء
25,1200000,5,3,552,الشرق
26,150000,5,3,135,منفوحة
27,120000,5,3,97,منفوحة
28,1020000,3,4,341,النظيم
29,160000,5,4,100,الصالحية
30,250000,5,3,150,اليمامة
31,130000,5,3,100,الحائر
32,1150000,4,4,375,الندوة
33,85000,4,2,119,ام سليم
34,250000,5,5,150,غبيرة
35,300000,5,5,213,الصالحية
36,1150000,5,4,390,طويق
37,950000,5,4,400,الربوة
38,1700000,5,3,400,طويق
39,1300000,5,5,400,ظهرة لبن
40,1100000,4,4,444,الندوة
41,900000,4,2,600,
42,148500,1,1,128,الربيع
43,600000,4,3,437,النسيم الغربي
44,900000,5,3,360,عكاظ
45,1050000,5,3,425,أحد
46,115000,5,3,103,الجرادية
47,3102500,5,5,1825,البديعة
48,1400000,3,3,400,النظيم
49,5000000,5,5,2200,الناصرية
50,170000,5,5,106,منفوحة
51,500000,5,3,117,الشرق
52,1250000,5,3,400,طويق
53,1250000,5,4,420,البيان
54,750000,5,5,390,بدر
55,1100000,4,4,430,الندوة
56,375000,2,2,76,الوزارات
57,250000,5,2,158,الشميسي
58,900000,5,5,375,الدار البيضاء
59,400000,3,1,136,ام سليم
60,450000,5,5,320,الدار البيضاء
61,235000,5,3,94,المرقب
62,750000,5,4,400,طويق
63,470000,5,5,98,الصالحية
64,150000,5,2,70,الشميسي
65,1050000,4,5,321,الرمال
66,1150000,4,4,400,الندوة
67,1170000,3,4,375,طويق
